lat,lon,temp_c,basement
35.748,-106.7196,250.1,
42.579,-122.5072,250.0,
37.8161,-118.9378,250.0,
36.0613,-117.565,250.0,
39.5082,-122.6445,249.9,
40.9496,-121.9581,249.9,
41.1376,-122.9191,249.9,
38.1294,-119.0751,249.9,
37.1267,-114.682,249.9,
39.3828,-112.7601,249.9,
39.5082,-119.8988,249.7,
42.9551,-115.3685,249.7,
33.6172,-115.5057,249.6,
41.9523,-120.3107,249.6,
39.6962,-113.1719,249.6,
41.639,-122.0954,249.5,
43.7071,-112.8974,249.5,
42.7044,-118.3887,249.4,
40.5109,-118.2514,249.4,
40.8869,-123.4682,249.3,
41.263,-119.0751,249.3,
42.0777,-118.3887,249.2,
42.579,-118.3887,249.2,
39.8215,-122.5072,249.1,
41.3883,-121.8208,249.1,
39.1948,-123.0563,249.1,
42.203,-123.6055,249.0,
43.5818,-121.9581,249.0,
41.2003,-123.6055,248.9,
37.5654,-118.6633,248.9,
39.5709,-118.1141,248.9,
37.3774,-116.604,248.9,
39.5709,-123.6055,248.8,
40.6363,-121.8208,248.8,
42.8297,-121.1344,248.8,
43.2058,-115.0939,248.8,
41.7017,-120.8598,248.7,
38.0668,-118.3887,248.7,
42.9551,-123.3309,248.6,
42.9551,-120.0361,248.6,
34.2439,-116.0549,248.6,
44.0205,-110.5635,248.6,
39.8215,-122.7818,248.5,
39.4455,-118.1141,248.5,
41.5136,-120.448,248.4,
43.7071,-110.9754,248.4,
42.8924,-124.0173,248.3,
42.203,-120.3107,248.3,
37.8788,-119.0751,248.3,
44.2712,-111.9364,248.3,
39.6962,-119.487,248.2,
43.4564,-116.7413,248.2,
42.7044,-122.5072,248.2,
42.2657,-116.604,248.2,
43.8325,-112.6228,248.2,
43.2684,-111.6618,248.2,
46.778,-123.7428,248.1,
37.3147,-116.4667,248.1,
41.5136,-122.6445,248.1,
42.015,-122.0954,248.1,
38.0041,-118.2514,248.0,
41.451,-120.0361,247.9,
44.3965,-110.0144,247.9,
39.3828,-123.4682,247.9,
37.0014,-121.2717,247.9,
41.3883,-122.0954,247.8,
37.0014,-118.2514,247.8,
37.1267,-122.3699,247.8,
41.639,-115.2312,247.8,
45.5246,-123.1936,247.7,
